2025-04-12 16:19:59: {'soil_moisture': 'Dry', 'temperature': 32.9, 'humidity': 46, 'ph_value': 'N/A'}
2025-04-12 16:21:01: {'soil_moisture': 'Dry', 'temperature': 34.7, 'humidity': 48, 'ph_value': 'N/A'}
2025-04-12 16:22:04: {'soil_moisture': 'Dry', 'temperature': 33.7, 'humidity': 48, 'ph_value': 'N/A'}
2025-04-12 16:23:06: {'soil_moisture': 'Dry', 'temperature': 33.7, 'humidity': 48, 'ph_value': 'N/A'}
2025-04-12 16:24:07: {'soil_moisture': 'Dry', 'temperature': 33.7, 'humidity': 48, 'ph_value': 'N/A'}
2025-04-12 16:27:27: {'soil_moisture': 'Dry', 'temperature': 33.4, 'humidity': 48, 'ph_value': 'N/A'}
2025-04-12 16:28:28: {'soil_moisture': 'Dry', 'temperature': 33.9, 'humidity': 49, 'ph_value': 'N/A'}
2025-04-12 16:29:29: {'soil_moisture': 'Dry', 'temperature': 33.5, 'humidity': 48, 'ph_value': 'N/A'}
2025-04-12 16:30:07: {'soil_moisture': 'Dry', 'temperature': 33.4, 'humidity': 48, 'ph_value': 'N/A'}
2025-04-12 16:31:09: {'soil_moisture': 'Dry', 'temperature': 33.4, 'humidity': 48, 'ph_value': 'N/A'}
2025-04-12 16:32:11: {'soil_moisture': 'Dry', 'temperature': 33.4, 'humidity': 48, 'ph_value': 'N/A'}
2025-04-12 16:33:14: {'soil_moisture': 'Dry', 'temperature': 33.4, 'humidity': 48, 'ph_value': 'N/A'}
2025-04-12 17:09:07: {'soil_moisture': 'Dry', 'temperature': 32.8, 'humidity': 44, 'ph_value': 'N/A'}
2025-04-12 17:10:09: {'soil_moisture': 'Dry', 'temperature': 'N/A', 'humidity': 'N/A', 'ph_value': 'N/A'}
2025-04-12 17:10:48: {'soil_moisture': 'Dry', 'temperature': 33.2, 'humidity': 53, 'ph_value': 'N/A'}
2025-04-13 01:04:27: {'soil_moisture': 'Dry', 'temperature': 27.6, 'humidity': 44, 'ph_value': 'N/A'}
2025-04-13 01:05:29: {'soil_moisture': 'Dry', 'temperature': 28.0, 'humidity': 46, 'ph_value': 'N/A'}
2025-04-13 01:06:32: {'soil_moisture': 'Dry', 'temperature': 27.6, 'humidity': 45, 'ph_value': 'N/A'}
2025-04-13 01:07:15: {'soil_moisture': 'Dry', 'temperature': 27.5, 'humidity': 45, 'ph_value': 'N/A'}
2025-04-13 03:56:04: {'soil_moisture': 'Dry', 'temperature': 27.5, 'humidity': 47, 'ph_value': 'N/A'}
2025-04-13 04:14:20: {'soil_moisture': 'Dry', 'temperature': 26.2, 'humidity': 45, 'ph_value': 'N/A'}
2025-04-13 04:40:58: {'soil_moisture': 'Dry', 'temperature': 'N/A', 'humidity': 'N/A', 'ph_value': 'N/A'}
2025-04-13 04:47:45: {'soil_moisture': 'Dry', 'temperature': 26.1, 'humidity': 47, 'ph_value': 'N/A'}
2025-04-13 04:48:47: {'soil_moisture': 'Dry', 'temperature': 26.9, 'humidity': 50, 'ph_value': 'N/A'}
